company name,stock code,timestamp,value,status
VODAFONE GROUP PLC,VOD,,,SUCCESS
LLOYDS BANKING GROUP PLC,LLOY,,,SUCCESS
HSBC HOLDINGS PLC,HSBA,,,SUCCESS
GLENCORE PLC,GLEN,,,SUCCESS
BT GROUP PLC,BT.A,,,SUCCESS
BARCLAYS PLC,BARC,,,SUCCESS
CENTRICA PLC,CNA,,,SUCCESS
BP PLC,BP.,,,SUCCESS
OCADO GROUP PLC,OCDO,,,SUCCESS
BURBERRY GROUP PLC,BRBY,,,SUCCESS
NON EXISTING COMPANY LLC,NON,,,FAILED: The search did not return any results for stock code: NON.
